,type,country,activity,age,species_,mes,fatal,sex,especie_tiburon,year,age_ok
941,Unprovoked,australia,Surfing,28,4.2 m white shark,Oct,Y,M,Unspecified,1992,28.0
942,Unprovoked,usa,Surfing,20,4 m to 5 m [13' to 16.5']  white shark ,Sep,N,M,Unspecified,1992,20.0
943,Unprovoked,australia,Surfing,17,4 m white shark,Aug,N,M,Unspecified,1992,17.0
944,Unprovoked,usa,Surfing,22,5.5 m to 6 m [18' to 20'] white shark,Aug,N,M,Unspecified,1992,22.0
945,Unprovoked,usa,Standing,42,"""a small shark""",Jul,N,F,Unspecified,1992,42.0
946,Unprovoked,reunion,Surfing,16,Bull shark or lemon shark,Jun,Y,M,Bull shark,1992,16.0
947,Unprovoked,south africa,Surfing,35,>2 m shark,Apr,N,M,Unspecified,1992,35.0
948,Unprovoked,usa,"Surfing, paddling seawards",36,Tiger shark,Mar,N,F,Tiger shark,1992,36.0
949,Unprovoked,japan,Hookah diving for pen shells ,41,"5 m [16.5'] white shark, identification by K. Nakaya",Mar,Y,M,Unspecified,1992,41.0
950,Unprovoked,usa,Surfing (sitting on his board),21,Said to involve a 6 m to 7 m [20' to 23'] white shark,Mar,N,M,Unspecified,1992,21.0
951,Invalid,australia,Surfing,19,Questionable incident,Feb,Unknown,M,Unspecified,1992,19.0
952,Unprovoked,australia,Boogie boarding,19,"Bronze whaler shark, 2.3 m [7.5'] ",Jan,N,M,Unspecified,1992,19.0
953,Unprovoked,south africa,Swimming ,19,"Zambesi shark, 1.7 m [5.5'] ",Jan,N,M,Unspecified,1992,19.0
954,Unprovoked,south africa,Spearfishing,36,Possibly a 1.5 m [5'] blacktip shark,Jan,N,M,Unspecified,1992,36.0
955,Unprovoked,usa,Hookah diving for sea urchins,25,6 m [20'] white shark,Dec,N,M,Unspecified,1991,25.0
956,Unprovoked,usa,Snorkeling,41,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",Nov,Y,F,Tiger shark,1991,41.0
957,Unprovoked,usa,Surfing,21,1.8 m [6'] shark,Oct,N,M,Unspecified,1991,21.0
958,Unprovoked,usa,Surfing,32,5 m to 6 m [16.5' to 20'] white shark,Oct,N,M,Unspecified,1991,32.0
959,Unprovoked,australia,Scuba diving,19,4 m [13'] white shark,Sep,Y,M,Unspecified,1991,19.0
960,Provoked,australia,Finning the shark that bit him,36,"3 m [10'], 270- kg [595-lb] shark",Aug,N,M,Unspecified,1991,36.0
961,Unprovoked,usa,Swimming,23,sand shark,Aug,N,M,Unspecified,1991,23.0
962,Unprovoked,usa,Wading,10,3' shark,Aug,N,F,Unspecified,1991,10.0
963,Boating,italy,Canoeing,40,4 m [13'] white shark,Jul,N,F,Unspecified,1991,40.0
964,Unprovoked,reunion,Surfing,30,"Tiger shark, 3 to 4 m [10' to 13'] ",Jul,N,M,Tiger shark,1991,30.0
965,Unprovoked,usa,Surfing,32,5 m [16.5'] white shark,Jul,N,M,Unspecified,1991,32.0
966,Unprovoked,usa,Swimming behind sailboat,31,2.7 m [9'] bull or lemon shark,Jun,N,M,Unspecified,1991,31.0
967,Unprovoked,hong kong,Swimming ,65,"Tiger shark, >3 m [10']",Jun,Y,F,Tiger shark,1991,65.0
968,Unprovoked,usa,Sitting on surfboard,23,2.4 m [8'] shark,May,N,M,Unspecified,1991,23.0
969,Unprovoked,usa,"Surfing, collided with shark",22,1.2 m to 1.5 m [4' to 5'] shark,Apr,N,M,Unspecified,1991,22.0
970,Unprovoked,usa,Surfing,38,5.5 m [18'] white shark,Feb,N,M,Unspecified,1991,38.0
971,Unprovoked,south africa,Spearfishing,20,5.5 m [18'] white shark,Feb,N,M,Unspecified,1991,20.0
972,Unprovoked,usa,Surfing,24,5' shark,Nov,N,M,Unspecified,1990,24.0
973,Unprovoked,usa,Surfing,50,1.8 m [6'] shark ,Oct,N,M,Unspecified,1990,50.0
974,Unprovoked,usa,Surfing,25,4' spinner shark,Oct,N,M,Unspecified,1990,25.0
975,Unprovoked,usa,Surfing,43,"Tiger shark, 3.7 m [12'] ",Oct,N,M,Tiger shark,1990,43.0
976,Unprovoked,usa,Surfing,19,1.8 m to 2.4 m [6' to 8'] shark,Oct,N,M,Unspecified,1990,19.0
977,Unprovoked,south africa,Spearfishing,26,5 m  [16.5'] white shark,Sep,N,M,Unspecified,1990,26.0
978,Unprovoked,usa,"Free diving / spearfishing, from paddleboard & floating on the surface",49,White shark,Sep,N,M,White shark,1990,49.0
979,Boating,usa,Kayaking,44,2.5 m to 3 m [8.25' to 10']  white shark,Sep,N,M,Unspecified,1990,44.0
980,Unprovoked,usa,Surfing,22,5 m to 6 m [16.5' to 20'] white shark,Aug,N,M,Unspecified,1990,22.0
981,Unprovoked,south africa,Scuba diving (but on surface),21,"4.5 m [14'9""] white shark",Jun,Y,F,Unspecified,1990,21.0
982,Unprovoked,south africa,Resting on surfboard,22,"5.5 m [18'] white shark, identified by witnesses & tooth marks",May,N,M,Unspecified,1990,22.0
983,Unprovoked,south africa,Lying on surfboard & paddling,23,"2.3 m [7.5'] white shark, identified by M. Smale",Apr,N,M,Unspecified,1990,23.0
984,Unprovoked,australia,Surfing,31,"Tiger shark, 3 m ",Apr,N,M,Tiger shark,1990,31.0
985,Unprovoked,south africa,Free diving & spearfishing,29,White shark,Nov,Y,M,White shark,1989,29.0
986,Unprovoked,australia,Surfing,17,2.7 m [9'] white shark,Oct,N,M,Unspecified,1989,17.0
987,Unprovoked,usa,Surfing,12,4' shark,Oct,N,M,Unspecified,1989,12.0
988,Invalid,usa,Diving,49,Shark involvement suspected but not confirmed,Oct,Unknown,M,Unspecified,1989,49.0
989,Unprovoked,south africa,Free diving,29,"White shark, identified by tooth pattern",Sep,N,M,White shark,1989,29.0
990,Provoked,usa,"Fishing, stepped on hooked shark's head",51,150-lb shark,Sep,N,M,Unspecified,1989,51.0
991,Unprovoked,usa,Hookah diving for abalone (descending),38,4 m to 5 m [13' to 16.5']  white shark,Sep,N,M,Unspecified,1989,38.0
992,Provoked,australia,Feeding fish,30,Grey nurse shark,Aug,N,M,Grey shark,1989,30.0
993,Unprovoked,south africa,Surfing,21,>3.4 m [11'] white shark,Aug,N,M,Unspecified,1989,21.0
994,Unprovoked,australia,Surfing,17,"Bronze whaler shark, 3 m [10'] ",Aug,N,M,Unspecified,1989,17.0
995,Unprovoked,south africa,Surfing,34,2.5 m [8.25'] white shark,Jul,N,M,Unspecified,1989,34.0
996,Unprovoked,south africa,Surfing,16,3 m [10'] white shark,Jun,N,M,Unspecified,1989,16.0
997,Unprovoked,south africa,Free diving,28,2.5 m [8.25'] white shark,Jun,N,M,Unspecified,1989,28.0
998,Unprovoked,australia,Surfing,27,2 m [6.75'] white shark,Mar,Y,M,Unspecified,1989,27.0
999,Unprovoked,italy,"Scuba diving, but swimming on surface",47,6 m [20'] white shark,Feb,Y,M,Unspecified,1989,47.0
1000,Invalid,usa,Kayaking,24,Invalid,Jan,Unknown,M,Unspecified,1989,24.0
1001,Unprovoked,usa,Kayaking,24,5 m [16.5'] white shark,Jan,Y,F,Unspecified,1989,24.0
1002,Unprovoked,australia,Surfing with dolphins,17,"Tiger shark, 4 m [13'] ",Jan,N,M,Tiger shark,1989,17.0
1003,Unprovoked,usa,Surfing (sitting on his board),21,5.5 m to 6 m [18' to 20']  white shark,Oct,N,M,Unspecified,1988,21.0
1004,Unprovoked,usa,Surfing,30,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M,Unspecified,1988,30.0
1005,Unprovoked,usa,Surfing,23,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M,Unspecified,1988,23.0
1006,Unprovoked,usa,Surfing,21,5' shark,Sep,N,M,Unspecified,1988,21.0
1007,Unprovoked,usa,Snorkeling,38,3 m [10'] bull shark,Sep,Y,M,Unspecified,1988,38.0
1008,Unprovoked,usa,Surfing,27,2.4 m to 3 m [8' to 10'] white shark,Aug,N,M,Unspecified,1988,27.0
1009,Unprovoked,south africa,Spearfishing,36,White shark,Jun,N,M,White shark,1988,36.0
1010,Unprovoked,usa,Sittting in water with his child,37,Sand shark?,Jun,N,M,Unspecified,1988,37.0
1011,Unprovoked,usa,Surfing,25,1.8 m to 2.4 m [6' to 8'] shark,Jun,N,M,Unspecified,1988,25.0
1012,Unprovoked,south africa,Surfing,17,1.5 m to 2 m [5' to 6.75'] shark,Mar,N,M,Unspecified,1988,17.0
1013,Unprovoked,south africa,Surfing,20,"1 m ""grey-colored"" shark",Feb,N,M,Unspecified,1988,20.0
1014,Unprovoked,south africa,Lying atop surfboard,15,Zambezi shark (tooth fragments recovered),Feb,N,F,Unspecified,1988,15.0
1015,Invalid,south africa,Surfing,22,Shark involvement not confirmed,Jan,Unknown,M,Unspecified,1988,22.0
1016,Provoked,south africa,Attempting to lasso shark's tail,33,1.5 m copper shark,Jan,N,M,Unspecified,1988,33.0
1017,Unprovoked,usa,Surfing,16,1.8 m [6'] blacktip shark,Dec,N,M,Unspecified,1987,16.0
1018,Unprovoked,usa,Surfing,20,2 m [6.75'] shark,Oct,N,M,Unspecified,1987,20.0
1019,Invalid,south africa,Boogie boarding,14,Questionable incident,Oct,Unknown,M,Unspecified,1987,14.0
1020,Unprovoked,south africa,Spearfishing,21,White shark,Oct,N,M,White shark,1987,21.0
1021,Unprovoked,south africa,Surfing,24,3.5 m [11.5']  white shark,Sep,N,M,Unspecified,1987,24.0
1022,Unprovoked,usa,Wading,12,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M,Unspecified,1987,12.0
1023,Unprovoked,usa,Surfing (sitting on his board),40,5.7 m white shark,Aug,N,M,Unspecified,1987,40.0
1024,Unprovoked,usa,Surfing,27,3' to 4' shark,Jul,N,M,Unspecified,1987,27.0
1025,Unprovoked,usa,Body surfing,32,4' shark,Jul,N,F,Unspecified,1987,32.0
1026,Unprovoked,usa,Wading,16,4' shark,Jul,N,F,Unspecified,1987,16.0
1027,Unprovoked,vanuatu,Swimming,8,4.3 m shark,Apr,Y,M,Unspecified,1987,8.0
1028,Unprovoked,south africa,Spearfishing,30,>2.5 m [8.25'] white shark,Jan,N,M,Unspecified,1987,30.0
